"﻿I01";"NOMPROV";"I02";"NOMCANT";"I03";"I03Cl";"I03C";"codParr";"NOMPARR";"I04";"I05";"numv";"numh";"nump";"TOTPER";"H00";"P00";"PCD";"P01";"P03";"GEDAD";"GRANEDAD";"P04M";"P04A";"P05";"P06_A";"P07";"P08";"Discapacidad";"P11LO";"P11L";"P11P";"P11C";"P11PQ";"P12LO";"P12L";"P12P";"P12C";"P12PQ";"P13LO";"P13L";"P13P";"P13C";"P13PQ";"P142P";"P142M";"P152";"P16";"P19";"P20T";"P20I";"P20C";"P21";"P23";"P24";"GRAESC";"GRAESCSA";"P25";"P27";"P28";"TIPOACT";"P29";"RAMACT";"P30";"GRUOCU";"P31";"CATOCUP";"P32";"P33";"P34";"P35";"P36";"P36H";"P36M";"P37";"P38";"P39A";"P39M";"P40";"P02"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;26;1;2;5;1;2;1;2;48;11;2;7;1962;1;1;2;2;2;2;2;10;1001;100150;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;5;1;2;2;2;2;4;3;4;3;;1;;1;1410;3;8152;8;2;2;40;2;1;7;5;3;2;5;24;1999;12;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;29;1;1;4;1;1;1;1;58;13;2;8;1952;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;1;1;2;2;2;2;4;6;7;6;;1;;1;111;1;6111;6;6;6;24;2;1;7;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;29;1;2;4;1;2;1;2;52;12;2;9;1958;1;1;2;1;1;2;2;10;1001;100157;1;1;10;1002;100250;1;1;10;1002;100250;2;2;;1;1;2;2;2;2;4;6;7;6;;7;5;11;;;;;;;;;1;7;6;2;4;6;16;1975;8;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;30;1;1;3;1;1;1;1;32;8;2;3;1978;1;1;1;2;2;2;2;17;1701;170169;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;4;6;7;6;;1;;1;1313;3;7322;7;2;2;44;2;1;3;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;30;1;2;3;1;2;1;2;27;7;2;1;1983;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;2;2;2;2;4;6;7;6;;7;5;11;;;;;;;;;1;7;1;0;1;1;20;2003;4;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;38;1;1;4;1;1;1;1;45;11;2;3;1965;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;1;2;2;2;9;4;17;16;1;1;;1;4921;8;8331;8;2;2;136;2;1;3;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;38;1;2;4;1;2;1;2;47;11;2;4;1963;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;9;9;9;2;9;3;16;15;1;1;;1;8521;16;2353;2;1;1;110;2;1;3;2;0;2;2;26;1997;12;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;40;1;1;5;1;1;1;1;58;13;2;1;1952;1;1;2;2;2;2;2;10;1004;100450;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;2;2;2;2;4;5;6;5;;1;;1;111;1;9211;9;3;3;16;2;1;5;;;;;;;;;"1"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;40;1;2;5;1;2;1;2;54;12;2;6;1956;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;2;2;2;2;2;1;;;;;7;5;11;;;;;;;;;1;7;7;3;4;7;17;2003;6;1;"2"
10;"IMBABURA";2;"ANTONIO ANTE";50;"A";1;109;"ATUNTAQUI";1;1;41;1;1;5;1;1;1;1;28;7;2;2;1982;1;1;2;2;2;1;1;10;1002;100250;1;1;10;1002;100250;1;1;10;1002;100250;2;2;2;6;1;2;2;2;2;4;6;7;6;;1;;1;4100;6;9312;9;3;3;45;2;1;7;;;;;;;;;"1"
